session,gameNum,costCond,visibilityCond,purpleBackpackSize,purpleEnergy,redBackpackSize,redEnergy,purpHelpFirst,redHelpFirst,purpAlsoHelp,redAlsoHelp,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize
bT9iNxrIJUbtdr,8,1,0,4,36,4,4,0,0,0,0,5,3,1,2,"3,5"
bT9iNxrIJUbtdr,9,1,0,4,26,4,24,0,0,0,0,4,4,0,2,"4,4"
bT9iNxrIJUbtdr,10,1,0,4,0,4,36,0,0,0,0,3,5,1,2,"3,5"
bT9iNxrIJUbtdr,11,1,0,4,28,4,26,0,0,0,0,4,4,0,2,"4,4"
bUEUPScS4YLfoK,0,0,0,3,36,5,41,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bUEUPScS4YLfoK,1,0,0,3,54,5,71,0,0,0,0,4,4,1,2,"4,4"
bUEUPScS4YLfoK,2,0,0,3,73,5,74,0,0,0,0,5,3,1,2,"5,3"
bUEUPScS4YLfoK,3,0,0,3,54,5,61,0,0,0,0,4,4,0,2,"4,4"
bUEUPScS4YLfoK,4,0,0,3,42,5,63,0,0,0,0,4,4,0,2,"4,4"
bUEUPScS4YLfoK,5,0,0,3,20,5,19,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bUEUPScS4YLfoK,6,0,0,3,52,5,68,0,0,0,0,3,5,1,2,"3,5"
bUEUPScS4YLfoK,7,0,0,3,73,5,74,0,0,0,0,5,3,1,2,"3,5"
bUEUPScS4YLfoK,8,0,0,3,22,5,33,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bUEUPScS4YLfoK,9,0,0,3,34,5,45,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bUEUPScS4YLfoK,10,0,0,3,50,5,63,0,0,0,0,3,5,1,2,"5,3"
bUEUPScS4YLfoK,11,0,0,3,52,5,71,0,0,0,0,4,4,1,2,"4,4"
bVmYLCYVLxicfd,0,0,0,5,43,3,36,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bVmYLCYVLxicfd,1,0,0,5,71,3,54,0,0,0,0,4,4,1,2,"4,4"
bVmYLCYVLxicfd,2,0,0,5,74,3,73,0,0,0,0,3,5,1,2,"5,3"
bVmYLCYVLxicfd,3,0,0,5,68,3,54,0,0,0,0,5,3,1,2,"5,3"
bVmYLCYVLxicfd,4,0,0,5,71,3,52,0,0,0,0,4,4,1,2,"4,4"
bVmYLCYVLxicfd,5,0,0,5,37,3,12,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bVmYLCYVLxicfd,6,0,0,5,35,3,22,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bVmYLCYVLxicfd,7,0,0,5,37,3,34,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bVmYLCYVLxicfd,8,0,0,5,68,3,52,0,0,0,0,5,3,1,2,"3,5"
bVmYLCYVLxicfd,9,0,0,5,63,3,52,0,0,0,0,4,4,0,2,"4,4"
bVmYLCYVLxicfd,10,0,0,5,74,3,68,0,0,0,0,3,5,1,2,"3,5"
bVmYLCYVLxicfd,11,0,0,5,59,3,54,0,0,0,0,4,4,0,2,"4,4"
bmhBXmNWjwNyti,0,1,1,3,8,5,42,0,0,0,0,4,4,1,2,"4,4"
bmhBXmNWjwNyti,1,1,1,3,0,5,37,0,0,0,0,4,4,1,2,"4,4"
bmhBXmNWjwNyti,2,1,1,3,41,5,48,0,0,0,0,5,3,1,2,"3,5"
bmhBXmNWjwNyti,3,1,1,3,0,5,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bmhBXmNWjwNyti,4,1,1,3,0,5,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bmhBXmNWjwNyti,5,1,1,3,46,5,48,0,0,0,0,5,3,1,2,"5,3"
bmhBXmNWjwNyti,6,1,1,3,8,5,18,0,0,0,0,4,4,0,2,"4,4"
bmhBXmNWjwNyti,7,1,1,3,8,5,37,0,0,0,0,3,5,1,2,"5,3"
bmhBXmNWjwNyti,8,1,1,3,4,5,41,0,0,0,0,3,5,1,2,"3,5"
bmhBXmNWjwNyti,9,1,1,3,0,5,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bmhBXmNWjwNyti,10,1,1,3,4,5,26,0,0,0,0,4,4,0,2,"4,4"
bmhBXmNWjwNyti,11,1,1,3,0,5,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bqngvoeTJeuWeN,0,0,0,4,19,4,25,0,1,1,-1,7,7,1,5,"3,2,2,2,2,3"
bqngvoeTJeuWeN,1,0,0,4,74,4,71,0,0,0,0,4,4,1,2,"4,4"
bqngvoeTJeuWeN,2,0,0,4,71,4,64,1,0,-1,0,3,5,1,2,"3,5"
bqngvoeTJeuWeN,3,0,0,4,66,4,61,0,0,0,0,4,4,0,2,"4,4"
bqngvoeTJeuWeN,4,0,0,4,36,4,31,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bqngvoeTJeuWeN,5,0,0,4,35,4,22,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bqngvoeTJeuWeN,6,0,0,4,71,4,68,1,0,-1,0,3,5,1,2,"5,3"
bqngvoeTJeuWeN,7,0,0,4,63,4,52,0,0,0,0,5,3,1,2,"5,3"
bqngvoeTJeuWeN,8,0,0,4,45,4,36,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bqngvoeTJeuWeN,9,0,0,4,71,4,74,0,0,0,0,4,4,1,2,"4,4"
bqngvoeTJeuWeN,10,0,0,4,66,4,69,0,1,0,-1,5,3,1,2,"3,5"
bqngvoeTJeuWeN,11,0,0,4,74,4,69,1,0,-1,1,4,4,0,2,"4,4"
cAwC1TGSkrbnoj,0,1,0,4,38,4,0,0,0,0,0,4,4,1,2,"4,4"
cAwC1TGSkrbnoj,1,1,0,4,0,4,0,1,0,-1,0,7,7,0,5,"3,2,2,2,2,3"
cAwC1TGSkrbnoj,2,1,0,4,24,4,22,1,0,-1,1,4,4,1,2,"4,4"
cAwC1TGSkrbnoj,3,1,0,4,28,4,26,1,0,-1,1,4,4,0,2,"4,4"
cAwC1TGSkrbnoj,4,1,0,4,0,4,0,1,0,-1,1,7,7,0,5,"3,2,2,2,2,3"
cAwC1TGSkrbnoj,5,1,0,4,20,4,22,1,0,-1,1,4,4,0,2,"4,4"
cAwC1TGSkrbnoj,6,1,0,4,0,4,0,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
cAwC1TGSkrbnoj,7,1,0,4,41,4,0,0,0,0,0,5,3,1,2,"3,5"
cAwC1TGSkrbnoj,8,1,0,4,24,4,22,1,0,-1,1,3,5,1,2,"5,3"
cAwC1TGSkrbnoj,9,1,0,4,0,4,0,1,0,-1,0,7,7,1,5,"3,2,2,2,2,3"
cAwC1TGSkrbnoj,10,1,0,4,21,4,0,1,0,-1,0,5,3,1,2,"5,3"
cAwC1TGSkrbnoj,11,1,0,4,6,4,0,1,0,-1,1,3,5,1,2,"3,5"
cQno7de90Nisv8,0,0,1,4,73,4,66,1,0,-1,0,3,5,1,2,"3,5"
cQno7de90Nisv8,1,0,1,4,72,4,69,1,0,-1,1,4,4,0,2,"4,4"
cQno7de90Nisv8,2,0,1,4,34,4,24,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
cQno7de90Nisv8,3,0,1,4,35,4,36,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
cQno7de90Nisv8,4,0,1,4,59,4,72,0,1,0,-1,5,3,1,2,"3,5"
cQno7de90Nisv8,5,0,1,4,74,4,71,0,0,0,0,4,4,1,2,"4,4"
cQno7de90Nisv8,6,0,1,4,71,4,74,0,0,0,0,4,4,1,2,"4,4"
cQno7de90Nisv8,7,0,1,4,74,4,69,1,0,-1,1,4,4,0,2,"4,4"
cQno7de90Nisv8,8,0,1,4,48,4,68,0,0,0,0,3,5,1,2,"5,3"
cQno7de90Nisv8,9,0,1,4,24,4,45,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
cQno7de90Nisv8,10,0,1,4,32,4,41,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
cQno7de90Nisv8,11,0,1,4,54,4,73,0,1,0,-1,5,3,1,2,"5,3"
cSRsRtAbohj0hL,0,1,0,3,0,5,0,1,0,-1,0,3,5,1,2,"5,3"
cSRsRtAbohj0hL,1,1,0,3,36,5,23,1,0,-1,0,4,4,1,2,"4,4"
cSRsRtAbohj0hL,2,1,0,3,31,5,18,1,0,-1,0,4,4,1,2,"4,4"
cSRsRtAbohj0hL,3,1,0,3,0,5,0,1,0,-1,0,7,7,1,5,"3,2,2,2,2,3"
cSRsRtAbohj0hL,4,1,0,3,46,5,48,0,0,0,0,5,3,1,2,"5,3"
cSRsRtAbohj0hL,5,1,0,3,0,5,0,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
cSRsRtAbohj0hL,6,1,0,3,0,5,0,1,0,-1,0,7,7,0,5,"3,2,2,2,2,3"
cSRsRtAbohj0hL,7,1,0,3,41,5,48,0,0,0,0,5,3,1,2,"3,5"
cSRsRtAbohj0hL,8,1,0,3,46,5,48,1,0,-1,1,3,5,1,2,"3,5"
cSRsRtAbohj0hL,9,1,0,3,46,5,28,1,0,-1,1,4,4,0,2,"4,4"
cSRsRtAbohj0hL,10,1,0,3,46,5,32,1,0,-1,1,4,4,0,2,"4,4"
cSRsRtAbohj0hL,11,1,0,3,0,5,5,1,0,-1,1,7,7,0,5,"3,2,2,2,2,3"
cZ2Vm2T1IneMta,0,0,1,4,45,4,42,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
cZ2Vm2T1IneMta,1,0,1,4,71,4,74,0,0,0,0,4,4,1,2,"4,4"
cZ2Vm2T1IneMta,2,0,1,4,52,4,63,0,0,0,0,3,5,1,2,"3,5"
cZ2Vm2T1IneMta,3,0,1,4,63,4,64,0,0,0,0,4,4,0,2,"4,4"
cZ2Vm2T1IneMta,4,0,1,4,36,4,23,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
cZ2Vm2T1IneMta,5,0,1,4,36,4,35,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
cZ2Vm2T1IneMta,6,0,1,4,76,4,63,1,0,-1,0,3,5,1,2,"5,3"
cZ2Vm2T1IneMta,7,0,1,4,68,4,71,0,1,0,-1,5,3,1,2,"5,3"
cZ2Vm2T1IneMta,8,0,1,4,37,4,39,0,1,1,-1,7,7,1,5,"3,2,2,2,2,3"
