session,gameNum,costCond,visibilityCond,resourceCond,purpleEnergy,purpleBackpackSize,redEnergy,redBackpackSize,purpHelpFirst,redHelpFirst,purpAlsoHelp,redAlsoHelp,nRedVeg,nPurpVeg
21,11,low,full,uneven,5,3,30,5,False,False,False,False,7,7
21,12,high,self,uneven,0,5,0,3,False,False,False,False,7,7
22,1,high,self,uneven,0,5,0,3,False,False,False,False,4,4
22,2,high,full,uneven,6,3,20,5,False,False,False,False,4,4
22,3,high,full,uneven,0,5,0,3,False,False,False,False,5,3
22,4,low,self,uneven,59,3,62,5,False,False,False,False,3,5
22,5,low,full,uneven,5,5,18,3,False,False,False,False,7,7
22,6,high,self,uneven,0,3,0,5,False,False,False,False,7,7
22,7,high,self,even,0,4,0,4,False,False,False,False,4,4
22,8,low,full,uneven,47,5,52,3,False,False,False,False,4,4
22,9,high,self,even,24,4,22,4,False,False,False,False,3,5
22,10,low,self,even,60,4,59,4,False,False,False,False,5,3
22,11,low,full,uneven,0,3,0,5,False,False,False,False,7,7
22,12,high,self,even,0,4,0,4,False,False,False,False,7,7
23,1,high,full,uneven,4,3,6,5,False,False,False,False,4,4
23,2,low,full,uneven,44,3,61,5,False,False,False,False,4,4
23,3,high,self,even,0,4,24,4,False,False,False,False,5,3
23,4,low,self,uneven,47,5,42,3,False,False,False,False,3,5
23,5,high,self,uneven,0,3,0,5,False,False,False,False,7,7
23,6,high,full,uneven,0,3,0,5,False,False,False,False,7,7
23,7,high,full,uneven,0,5,22,3,False,False,False,False,4,4
23,8,low,full,even,50,4,63,4,False,False,False,False,4,4
23,9,low,self,uneven,59,5,54,3,False,False,False,False,3,5
23,10,low,self,even,60,4,59,4,False,False,False,False,5,3
23,11,high,self,uneven,0,3,0,5,False,False,False,False,7,7
23,12,low,self,even,0,4,11,4,False,False,False,False,7,7
24,1,high,full,uneven,8,5,3,3,False,False,False,False,4,4
24,2,high,full,uneven,20,5,22,3,False,False,False,False,4,4
24,3,high,full,uneven,0,5,2,3,False,False,False,False,5,3
24,4,low,self,uneven,42,3,47,5,False,False,False,False,3,5
24,5,high,self,even,0,4,0,4,False,False,False,False,7,7
24,6,low,self,even,15,4,12,4,False,False,False,False,7,7
24,7,low,self,even,50,4,47,4,False,False,False,False,4,4
24,8,low,self,even,50,4,63,4,False,False,False,False,4,4
24,9,low,self,uneven,54,3,59,5,False,False,False,False,3,5
24,10,high,self,uneven,20,5,18,3,False,False,False,False,5,3
24,11,low,full,even,12,4,11,4,False,False,False,False,7,7
24,12,high,self,uneven,0,5,0,3,False,False,False,False,7,7
25,1,low,full,uneven,32,5,42,3,False,False,False,False,4,4
25,2,high,self,uneven,20,5,6,3,False,False,False,False,4,4
25,3,high,full,uneven,0,5,0,3,False,False,False,False,5,3
25,4,low,self,uneven,59,3,62,5,False,False,False,False,3,5
